,local_timestamp,side,price,amount
40746,1722472709635381,sell,0.0110854,66144
40747,1722472709635395,sell,0.0110852,61516
40748,1722472709636338,sell,0.0110852,22807
40749,1722472709636339,sell,0.0110852,2080
40750,1722472709647985,sell,0.0110848,1024
40751,1722472709647986,sell,0.0110848,1341
40752,1722472709649791,sell,0.0110847,79261
40753,1722472709674944,sell,0.0110847,8416
40754,1722472709679267,buy,0.0110843,20674
40755,1722472709679269,buy,0.0110843,41998
40756,1722472709679272,buy,0.0110843,27120
40757,1722472709679276,buy,0.0110843,20674
40758,1722472709679280,buy,0.0110843,36544
40759,1722472709679281,buy,0.0110844,46200
40760,1722472709679286,buy,0.0110846,79261
40761,1722472709679287,buy,0.0110847,82220
40762,1722472709679291,buy,0.0110847,41796
40763,1722472709679294,buy,0.0110847,878
40764,1722472709705374,buy,0.0110841,37348
40765,1722472709705378,buy,0.0110841,20643
40766,1722472709705382,buy,0.0110841,172338
40767,1722472709705383,buy,0.0110841,20643
40768,1722472709705392,buy,0.0110841,60635
40769,1722472710172092,sell,0.011084,810
40770,1722472710172094,sell,0.011084,29492
40771,1722472710172095,sell,0.011084,1489
40772,1722472710172122,sell,0.011084,22796
40773,1722472711633136,sell,0.011084,70662
40774,1722472711633139,sell,0.011084,63070
40775,1722472711635932,sell,0.011084,21309
40776,1722472711635935,sell,0.0110839,27120
40777,1722472711635936,sell,0.0110839,4467
40778,1722472711636857,sell,0.0110837,27120
40779,1722472711636859,sell,0.0110837,65902
40780,1722472711636869,sell,0.0110836,128017
40781,1722472712624572,sell,0.0110834,45112
40782,1722472712624573,sell,0.0110834,1489
40783,1722472712624577,sell,0.0110834,1111
40784,1722472712624579,sell,0.0110834,3194
40785,1722472712624582,sell,0.0110834,474
40786,1722472713350692,buy,0.0110821,34554
40787,1722472713350697,buy,0.0110821,60168
40788,1722472713350698,buy,0.0110821,7383
40789,1722472713350698,buy,0.0110821,1489
40790,1722472713350699,buy,0.0110822,34531
40791,1722472713350699,buy,0.011083,5436
40792,1722472713350700,buy,0.0110831,35211
40793,1722472713479485,sell,0.0110822,82220
40794,1722472713479493,sell,0.0110822,60168
40795,1722472713479494,sell,0.0110822,89713
40796,1722472713479494,sell,0.0110821,4503
40797,1722472713479495,sell,0.011082,58305
40798,1722472714141545,sell,0.0110829,2030
40799,1722472714727685,sell,0.0110829,474
40800,1722472714728995,sell,0.0110829,845
40801,1722472714953334,buy,0.011083,55568
40802,1722472714954495,buy,0.0110832,26467
40803,1722472715424039,buy,0.0110837,26467
40804,1722472715424042,buy,0.0110837,1489
40805,1722472715424047,buy,0.0110837,1423
40806,1722472715738909,sell,0.011084,1271
40807,1722472715966872,buy,0.0110841,15836
40808,1722472715966873,buy,0.0110841,43822
40809,1722472715966874,buy,0.0110841,26467
40810,1722472715966903,buy,0.0110841,1489
40811,1722472716410389,buy,0.0110846,52498
40812,1722472716410394,buy,0.0110846,1489
40813,1722472716461779,buy,0.0110847,26467
40814,1722472716461780,buy,0.0110847,1489
40815,1722472718541670,buy,0.0110852,4163
40816,1722472719318382,buy,0.0110852,2212
40817,1722472719420899,buy,0.0110852,20092
40818,1722472719420906,buy,0.0110852,5023
40819,1722472719420907,buy,0.0110852,3573
40820,1722472719420913,buy,0.0110852,1489
40821,1722472719420914,buy,0.0110852,4847
40822,1722472719736102,sell,0.0110864,13606
40823,1722472720846007,buy,0.0110865,452
40824,1722472720846008,buy,0.0110865,901
40825,1722472720859865,buy,0.0110865,27664
40826,1722472720859870,buy,0.0110865,5769
40827,1722472720859881,buy,0.0110865,35314
40828,1722472720859883,buy,0.0110865,60168
40829,1722472720859888,buy,0.0110865,58305
40830,1722472720859896,buy,0.0110865,79261
40831,1722472720859897,buy,0.0110865,16620
40832,1722472720859898,buy,0.0110865,1489
40833,1722472720868382,sell,0.0110865,9654
40834,1722472720920538,sell,0.0110865,954
40835,1722472721548410,sell,0.0110865,31390
40836,1722472721549685,sell,0.0110865,47871
40837,1722472722176609,sell,0.0110865,483
40838,1722472722176611,sell,0.0110865,133107
40839,1722472722176611,sell,0.0110865,172338
40840,1722472722176612,sell,0.0110865,30763
40841,1722472722176613,sell,0.0110865,1489
40842,1722472722176613,sell,0.0110865,33404
40843,1722472722183662,sell,0.0110864,13055
40844,1722472722183663,sell,0.0110864,49116
40845,1722472722183663,sell,0.0110864,6523
40846,1722472722199347,sell,0.0110858,13055
40847,1722472722209519,sell,0.0110858,52462
40848,1722472722322369,buy,0.0110853,20745
40849,1722472722423332,buy,0.0110853,295088
40850,1722472722423334,buy,0.0110853,60168
40851,1722472722423350,buy,0.0110853,8306
40852,1722472722423374,buy,0.0110853,1489
40853,1722472722929913,buy,0.0110866,745
40854,1722472722929916,buy,0.0110866,12675
40855,1722472722929917,buy,0.0110866,1654
40856,1722472722929921,buy,0.0110866,75129
40857,1722472723322303,sell,0.0110868,1489
40858,1722472723322328,sell,0.0110868,14945
40859,1722472724316819,buy,0.0110859,1000
40860,1722472725824851,buy,0.0110859,12715
40861,1722472726580448,buy,0.0110859,29608
40862,1722472726580452,buy,0.0110859,10363
40863,1722472726582518,buy,0.0110867,22546
40864,1722472726582523,buy,0.0110868,166118
40865,1722472726582524,buy,0.0110869,452
